Image1	Optimal1	(meta) top alg1	Algs1	Image2	(meta) top alg2	Algs2	Recognition Notes	Best Alg Notes	Full Case Name	Parents
	4	1,0/3,0/2,-1/-3,0/0,1	1,0/3,0/2,-1/-3,0/0,1 4,0/-3,0/-1,2/3,0/0,1 3,-1/3,0/-2,1/-3,0/-1,0 3,-1/3,0/-3,0/-2,1/-1,0				Bad whales; whales are mirrors of each other.	Swap top whale head, held against slice with tail in UL, with full bottom whale in DR.	Left Whale / Right Whale	Left Axe / Gem; Gem / Right Axe; Right Scottie / Shell; Left Scottie / Shell

	3	0,-1/-5,1/3,0/-1,0	0,-1/-5,1/3,0/-1,0 0,-1/-3,3/1,-2/-1,0 0,-1/3,-3/-2,1/-1,0 0,-1/4,-2/-3,0/-1,0 0,-1/-2,4/0,-3/-1,0				Good whales; whales are the same as each other.	Swap both whales to form good tents.	Left Whale / Left Whale	Right Tent / Right Tent; Right Thumb / Right Thumb

	4	0,-1/4,1/-3,0/-4,-1/0,1	0,-1/4,1/-3,0/-4,-1/0,1 -3,-1/1,4/0,3/-1,-4/0,1				Bad whale/tent; splitting sandwiched tent on top and tent on bottom breaks squareshape.	Keep only isolated corner on top, swapping isolated edge for same-color whale to form scottie/bird.	Right Whale / Right Tent	Right Scottie / Left Bird; Right Axe / Right Spill

	3	1,0/-4,-1/4,1/-1,0	1,0/-4,-1/4,1/-1,0		1,0/-1,-4/4,1/-1,0	1,0/-1,-4/4,1/-1,0 -5,6/-4,-1/-2,-5/-1,0	Good whale/tent; splitting sandwiched tent on top and tent on bottom preserves squareshape.	Split sandwiched tent on top and tent on bottom, holding both tents in front.	Right Whale / Left Tent	Right Thumb / Right Thumb

	3	1,0/5,-1/-3,0/0,1	1,0/5,-1/-3,0/0,1 1,0/-3,3/2,-1/0,1 1,0/3,-3/-1,2/0,1 1,0/-4,2/3,0/0,1 1,0/2,-4/0,3/0,1 -3,-4/4,-2/-4,-1/0,1				Good whales; whales are the same as each other.	Swap both whales to form good tents.	Right Whale / Right Whale	Left Tent / Left Tent; Left Thumb / Left Thumb

	4	0,-1/-3,0/-2,1/3,0/-1,0	0,-1/-3,0/-2,1/3,0/-1,0 -3,-1/3,0/4,1/3,0/-1,0 -2,0/-3,0/3,0/2,-1/0,1 -2,0/-3,0/2,-1/3,0/0,1				Bad whales; whales are mirrors of each other.	Swap top whale head, held against slice with tail in UL, with full bottom whale in DR.	Right Whale / Left Whale	Right Axe / Gem; Gem / Left Axe; Left Scottie / Shell; Right Scottie / Shell
