Image1	Optimal1	(meta) top alg1	Algs1	Image2	(meta) top alg2	Algs2	Notes	Recognition Notes	Best Alg Notes	Full Case Name	Parents
	4	0,-1/-3,0/1,4/-1,-4/0,1	0,-1/-3,0/1,4/-1,-4/0,1				swap isolated corner with 2 pieces from bottom		Preserve full kite on top in UL, swap remaining corner with whale on bottom.	Right Spill / Angel	Right Tent / Left Whale
	4	1,0/-1,2/1,4/-1,-4/0,1	1,0/-1,2/1,4/-1,-4/0,1				break up diamond on bottom, swap with isolated corner on top		Preserve full kite on top in UL, put gem directly below isolated corner on bottom (in this case, UBR/DBR).	Left Spill / Gem	Right Tent / Left Whale
	5	1,0/3,0/2,2/-2,1/3,0/-1,0	1,0/3,0/2,2/-2,1/3,0/-1,0 -5,0/5,-1/4,1/-3,0/-4,-1/0,1 -5,0/2,-1/1,4/0,3/-1,-4/0,1				bad fpan/fpan, swap isolated edge with isolated corner	Bad spill/spill; swapping spills preserves squareshape.	Preserve full kite on bottom in DL, swap isolated edge on top with isolated corner on bottom to make scottie/bird.	Left Spill / Left Spill	Right Scottie / Right Bird; Right Whale / Right Tent; Right Baron / Left Dish
	4	1,0/-3,0/-3,0/-1,-1/0,1	1,0/-3,0/-3,0/-1,-1/0,1 -3,-4/0,3/0,3/1,1/-1,0				good fpan/fpan, CO -> M2	Good spill/spill; swapping spills breaks squareshape.	Do CO into M2, make plane/plane with tent on top connecting with whale from bottom.	Left Spill / Right Spill	Same Plane / Plane; Right Scottie / Shell
	4	1,0/-1,-1/-3,0/-2,1/-1,0	1,0/-1,-1/-3,0/-2,1/-1,0 1,0/-1,-1/-2,1/-3,0/-1,0 0,-1/1,1/-3,0/-3,0/-1,0				bad fpan/hammer, blockbuild to 3-2 or CO	Bad spill/snoopy; tent from spill can exactly swap with tent from snoopy.	Keep spill fully in UL, pair edge from spill with tent to make scottie/shell.	Left Spill / Right Snoopy	Right Scottie / Shell; Right Pinwheel / Right Kite; Right Snoopy / Gem; Right Tent / Left Whale
	3	0,-1/-3,0/4,1/-1,0	0,-1/-3,0/4,1/-1,0				good fpan/hammer, pair up edges on top with CE pair on bottom	Good spill/snoopy; tent from spill can't exactly swap with tent from snoopy.	Swap only corner from spill on top with tent on bottom to make dish/dish.	Left Spill / Left Snoopy	Left Dish / Left Dish
	4	1,0/3,0/-1,-4/1,4/-1,0	1,0/3,0/-1,-4/1,4/-1,0				swap isolated corner with corner and edge on bottom		Preserve full kite on top in UL, swap remaining corner with whale on bottom.	Left Spill / Angel	Left Tent / Right Whale
Hammers / Snoopy's											
	3	1,0/2,-1/-3,0/0,1	1,0/2,-1/-3,0/0,1				"core case"		Swap tent on top with gem on bottom, "maximally" blockbuild to get tent/tent.	Left Snoopy / Gem	Left Tent / Left Tent
	3	0,-1/0,-3/1,4/-1,0	0,-1/0,-3/1,4/-1,0				good hammer/fpan, pair up CE pair on top with edges on bottom	Good snoopy/spill; tent from snoopy can't exactly swap with tent from spill.	Swap tent on top with only corner from spill on bottom to make dish/dish.	Left Snoopy / Left Spill	Left Dish / Left Dish
	4	0,-1/1,1/-4,-1/-3,0/0,1	0,-1/1,1/-4,-1/-3,0/0,1 0,-1/1,1/-1,2/3,0/0,1 0,-1/1,1/0,3/2,-1/0,1 1,0/-1,-1/-3,0/-3,0/0,1				bad hammer/fpan, blockbuild to 3-2 or CO	Bad snoopy/spill; tent from snoopy can exactly swap with tent from spill.	Put spill fully in DR, pair with tent on top to make scottie/shell.	Left Snoopy / Right Spill	Left Scottie / Shell; Left Pinwheel / Left Kite; Gem / Left Snoopy; Right Whale / Left Tent
	5	1,0/2,-1/-2,1/-1,-1/-3,0/0,1	1,0/2,-1/-2,1/-1,-1/-3,0/0,1 0,-1/3,0/-2,1/-1,-1/-3,0/0,1 -2,0/-4,-1/-2,1/-4,-1/4,1/-1,0				mirrored hammers, swap isolated edge on top with CE pair on bottom	Mirrored snoopies; tents can't connect to form kites.	Swap isolated edge on top with tent on bottom, forming opposite plane/plane.	Left Snoopy / Right Snoopy	Plane / Plane; Gem / Right Spill; Moth / Left Kite; Angel / Right Spill; Moth / Right Zero
	5	0,-1/-3,0/4,1/3,0/2,-1/0,1	0,-1/-3,0/4,1/3,0/2,-1/0,1				matching hammers, swap CE pairs so isolated edge on top matches with pair from bottom	Matching snoopies; tents can connect to form kites.	Put shells on left, pair tent on bottom with isolated edge on top.	Left Snoopy / Left Snoopy	Gem / Gem
	4	0,-1/0,-3/1,-2/-1,-4/0,1	0,-1/0,-3/1,-2/-1,-4/0,1 6,5/-3,0/1,-2/-4,-1/0,1				match CE pair on top with edge on bottom, preserving corner on bottom		Put shell on top in UL, pair tent on top with whale on bottom to form good plane/moth.	Left Snoopy / Angel	Plane / Moth; Left Spill / Left Snoopy; Left Baron / Left Baron
	3	0,-1/-2,1/3,0/-1,0	0,-1/-2,1/3,0/-1,0				"core case"		Swap tent on top with gem on bottom, "maximally" blockbuild to get tent/tent.	Right Snoopy / Gem	Right Tent / Right Tent
	4	1,0/-1,-1/4,1/3,0/-1,0	1,0/-1,-1/4,1/3,0/-1,0 1,0/-1,-1/1,-2/-3,0/-1,0 1,0/-1,-1/0,-3/-2,1/-1,0 0,-1/-2,1/-3,0/-3,0/-1,0 0,-1/1,1/3,0/3,0/-1,0				bad hammer/fpan, blockbuild to 3-2 or CO	Bad snoopy/spill; tent from snoopy can exactly swap with tent from spill.	Put spill fully in DR, pair with tent on top to make scottie/shell.	Right Snoopy / Left Spill	Right Scottie / Shell; Right Pinwheel / Right Kite; Gem / Right Snoopy; Left Whale / Right Tent
	3	1,0/0,3/-1,-4/0,1	1,0/0,3/-1,-4/0,1				good hammer/fpan, pair up CE pair on top with edges on bottom	Good snoopy/spill; tent from snoopy can't exactly swap with tent from spill.	Swap tent on top with only corner from spill on bottom to make dish/dish.	Right Snoopy / Right Spill	Right Dish / Right Dish
	5	1,0/3,0/-4,-1/-2,1/-3,0/-1,0	1,0/3,0/-4,-1/-2,1/-3,0/-1,0 1,0/3,0/-4,-1/-3,0/-2,1/-1,0				matching hammers, swap CE pairs so isolated edge on top matches with pair from bottom	Matching snoopies; tents can connect to form kites.	Put shells on left, pair tent on bottom with isolated edge on top.	Right Snoopy / Right Snoopy	Gem / Gem
	5	0,-1/-3,0/-2,1/-1,-1/-3,0/0,1	0,-1/-3,0/-2,1/-1,-1/-3,0/0,1 1,0/-4,-1/-2,1/-1,-1/-3,0/0,1 3,-1/4,1/2,-1/4,1/-4,-1/0,1				mirrored hammers, swap isolated edge on top with CE pair on bottom	Mirrored snoopies; tents can't connect to form kites.	Swap isolated edge on top with tent on bottom, forming opposite plane/plane.	Right Snoopy / Left Snoopy	Plane / Plane; Gem / Left Spill; Moth / Right Kite; Angel / Left Spill; Moth / Left Zero
	4	1,0/0,3/-1,2/1,4/-1,0	1,0/0,3/-1,2/1,4/-1,0 -5,6/3,0/-1,2/4,1/-1,0				match CE pair on top with edge on bottom, preserving corner on bottom		Put shell on top in UL, pair tent on top with whale on bottom to form good plane/moth.	Right Snoopy / Angel	Plane / Moth; Right Spill / Right Snoopy; Right Baron / Right Baron
Y / Angel											
	4	1,0/3,0/-3,0/-1,-1/0,1	1,0/3,0/-3,0/-1,-1/0,1 3,2/0,-3/-3,0/1,1/-1,0 -3,-4/-3,0/-3,0/1,1/-1,0 -5,6/0,3/-3,0/-1,-1/0,1				CO -> M2		Do CO into M2; create same plane/plane by pairing corner on top with a tent from bottom.	Angel / Gem	Same Plane / Plane; Right Scottie / Left Bird; Left Scottie / Right Bird
	4	1,0/0,3/-4,-1/4,1/-1,0	1,0/0,3/-4,-1/4,1/-1,0				swap corner and edge on top with isolated corner on bottom		Preserve full kite on bottom in DL, swap remaining corner on bottom with whale on top.	Angel / Left Spill	Right Whale / Left Tent
	4	0,-1/0,-3/4,1/-4,-1/0,1	0,-1/0,-3/4,1/-4,-1/0,1				swap corner and edge on top with isolated corner on bottom		Preserve full kite on bottom in DL, swap remaining corner on bottom with whale on top.	Angel / Right Spill	Left Whale / Right Tent
	4	1,0/3,0/2,-1/4,1/-1,0	1,0/3,0/2,-1/4,1/-1,0				match edge on top with CE pair on bottom, preserving corner on top		Put shell on bottom in DL, pair tent on bottom with whale on top to form good moth/plane.	Angel / Right Snoopy	Moth / Plane; Right Snoopy / Right Spill; Right Baron / Right Baron
	4	0,-1/-3,0/-2,1/-4,-1/0,1	0,-1/-3,0/-2,1/-4,-1/0,1				match edge on top with CE pair on bottom, preserving corner on top		Put shell on bottom in DL, pair tent on bottom with whale on top to form good moth/plane.	Angel / Left Snoopy	Moth / Plane; Left Snoopy / Left Spill; Left Baron / Left Baron
	5	1,0/-4,-1/-3,0/-3,3/4,1/-1,0	1,0/-4,-1/-3,0/-3,3/4,1/-1,0 0,-1/1,-2/0,-3/2,-1/-2,-5/-1,0 0,-1/1,-2/-4,2/1,-2/-4,-1/0,1 0,-1/4,1/0,3/-3,3/2,5/0,1 3,-1/-2,-2/3,0/-4,-1/-2,1/-3,0/-1,0 4,-3/2,-1/0,3/1,-2/-4,-1/0,1 -2,3/-1,2/0,3/-2,1/2,5/0,1 -2,3/-1,2/4,-2/-1,2/4,1/-1,0 -2,3/-4,-1/0,-3/-3,3/-5,-2/-1,0 				I don't like this one; all 5-slicers go to a hazard/yoshi, but I do a 6-slicer to matching hammers by swapping C--E blocks		Put isolated corners in UBL and DFR; either alignment will make scottie/hazard.	Angel / Angel	Left Scottie / Hazard; Right Scottie / Hazard
